=== EXECUÇÃO 1 ===
Cozinheiro 4 preparando pedido=94
Cozinheiro 3 terminou pedido=87
Cozinheiro 3 preparando pedido=95
Cozinheiro 2 terminou pedido=90
Cozinheiro 2 preparando pedido=96
Cozinheiro 0 terminou pedido=93
Cozinheiro 0 preparando pedido=97
Cozinheiro 1 terminou pedido=91
Cozinheiro 1 preparando pedido=98
Cozinheiro 4 terminou pedido=94
Cozinheiro 4 preparando pedido=99
Cozinheiro 2 terminou pedido=96
Cozinheiro 4 terminou pedido=99
Cozinheiro 3 terminou pedido=95
Cozinheiro 1 terminou pedido=98
Cozinheiro 0 terminou pedido=97

Tempo total: 6.211226940155 segundos
Cozinheiro 0 atendeu os pedidos: 0, 8, 11, 15, 16, 19, 26, 35, 41, 46, 51, 53, 58, 62, 68, 75, 79, 83, 89, 93, 97
Cozinheiro 1 atendeu os pedidos: 1, 5, 7, 12, 20, 21, 23, 28, 32, 37, 39, 43, 50, 56, 61, 67, 73, 80, 86, 91, 98
Cozinheiro 2 atendeu os pedidos: 2, 9, 17, 24, 31, 40, 45, 52, 57, 63, 65, 69, 72, 74, 78, 82, 90, 96
Cozinheiro 3 atendeu os pedidos: 3, 10, 14, 22, 27, 34, 38, 42, 47, 49, 54, 59, 64, 70, 76, 81, 84, 87, 95
Cozinheiro 4 atendeu os pedidos: 4, 6, 13, 18, 25, 29, 30, 33, 36, 44, 48, 55, 60, 66, 71, 77, 85, 88, 92, 94, 99

=== VALIDAÇÃO DE INTEGRIDADE ===
Total de pedidos processados: 100
Esperado: 100 pedidos
✓ Todos os pedidos foram processados
✓ Nenhum pedido foi duplicado
✓ Nenhum pedido foi perdido
✓ A fila de pedidos terminou vazia
✓ Soma matemática correta (esperada: 4950, obtida: 4950)
================================


=== EXECUÇÃO 3 ===
Cozinheiro 0 pronto para receber pedidos!
Cozinheiro 0 preparando pedido=0
Cozinheiro 1 pronto para receber pedidos!
Cozinheiro 1 preparando pedido=1
Cozinheiro 2 pronto para receber pedidos!
Cozinheiro 2 preparando pedido=2
Cozinheiro 3 pronto para receber pedidos!
Cozinheiro 3 preparando pedido=3
Cozinheiro 4 pronto para receber pedidos!
Cozinheiro 4 preparando pedido=4
Cozinheiro 1 terminou pedido=1
Cozinheiro 1 preparando pedido=5
Cozinheiro 2 terminou pedido=2
Cozinheiro 2 preparando pedido=6
Cozinheiro 0 terminou pedido=0
Cozinheiro 0 preparando pedido=7
Cozinheiro 4 terminou pedido=4
Cozinheiro 4 preparando pedido=8
Cozinheiro 1 terminou pedido=5
Cozinheiro 1 preparando pedido=9
Cozinheiro 3 terminou pedido=3
Cozinheiro 3 preparando pedido=10
Cozinheiro 0 terminou pedido=7
Cozinheiro 0 preparando pedido=11
Cozinheiro 2 terminou pedido=6
Cozinheiro 2 preparando pedido=12
Cozinheiro 4 terminou pedido=8
Cozinheiro 4 preparando pedido=13
Cozinheiro 1 terminou pedido=9
Cozinheiro 1 preparando pedido=14
Cozinheiro 3 terminou pedido=10
Cozinheiro 3 preparando pedido=15
Cozinheiro 0 terminou pedido=11
Cozinheiro 0 preparando pedido=16
Cozinheiro 4 terminou pedido=13
Cozinheiro 4 preparando pedido=17
Cozinheiro 2 terminou pedido=12
Cozinheiro 2 preparando pedido=18
Cozinheiro 1 terminou pedido=14
Cozinheiro 1 preparando pedido=19
Cozinheiro 4 terminou pedido=17
Cozinheiro 4 preparando pedido=20
Cozinheiro 1 terminou pedido=19
Cozinheiro 1 preparando pedido=21
Cozinheiro 3 terminou pedido=15
Cozinheiro 3 preparando pedido=22
Cozinheiro 0 terminou pedido=16
Cozinheiro 0 preparando pedido=23
Cozinheiro 2 terminou pedido=18
Cozinheiro 2 preparando pedido=24
Cozinheiro 4 terminou pedido=20
Cozinheiro 4 preparando pedido=25
Cozinheiro 3 terminou pedido=22
Cozinheiro 3 preparando pedido=26
Cozinheiro 1 terminou pedido=21
Cozinheiro 1 preparando pedido=27
Cozinheiro 2 terminou pedido=24
Cozinheiro 2 preparando pedido=28
Cozinheiro 0 terminou pedido=23
Cozinheiro 0 preparando pedido=29
Cozinheiro 4 terminou pedido=25
Cozinheiro 4 preparando pedido=30
Cozinheiro 1 terminou pedido=27
Cozinheiro 1 preparando pedido=31
Cozinheiro 3 terminou pedido=26
Cozinheiro 3 preparando pedido=32
Cozinheiro 4 terminou pedido=30
Cozinheiro 4 preparando pedido=33
Cozinheiro 0 terminou pedido=29
Cozinheiro 0 preparando pedido=34
Cozinheiro 2 terminou pedido=28
Cozinheiro 2 preparando pedido=35
Cozinheiro 1 terminou pedido=31
Cozinheiro 1 preparando pedido=36
Cozinheiro 4 terminou pedido=33
Cozinheiro 4 preparando pedido=37
Cozinheiro 3 terminou pedido=32
Cozinheiro 3 preparando pedido=38
Cozinheiro 0 terminou pedido=34
Cozinheiro 0 preparando pedido=39
Cozinheiro 2 terminou pedido=35
Cozinheiro 2 preparando pedido=40
Cozinheiro 2 terminou pedido=40
Cozinheiro 2 preparando pedido=41
Cozinheiro 4 terminou pedido=37
Cozinheiro 4 preparando pedido=42
Cozinheiro 3 terminou pedido=38
Cozinheiro 3 preparando pedido=43
Cozinheiro 1 terminou pedido=36
Cozinheiro 1 preparando pedido=44
Cozinheiro 0 terminou pedido=39
Cozinheiro 0 preparando pedido=45
Cozinheiro 2 terminou pedido=41
Cozinheiro 2 preparando pedido=46
Cozinheiro 4 terminou pedido=42
Cozinheiro 4 preparando pedido=47
Cozinheiro 2 terminou pedido=46
Cozinheiro 2 preparando pedido=48
Cozinheiro 3 terminou pedido=43
Cozinheiro 3 preparando pedido=49
Cozinheiro 2 terminou pedido=48
Cozinheiro 2 preparando pedido=50
Cozinheiro 1 terminou pedido=44
Cozinheiro 1 preparando pedido=51
Cozinheiro 0 terminou pedido=45
Cozinheiro 0 preparando pedido=52
Cozinheiro 4 terminou pedido=47
Cozinheiro 4 preparando pedido=53
Cozinheiro 3 terminou pedido=49
Cozinheiro 3 preparando pedido=54
Cozinheiro 1 terminou pedido=51
Cozinheiro 1 preparando pedido=55
Cozinheiro 2 terminou pedido=50
Cozinheiro 2 preparando pedido=56
Cozinheiro 0 terminou pedido=52
Cozinheiro 0 preparando pedido=57
Cozinheiro 4 terminou pedido=53
Cozinheiro 4 preparando pedido=58
Cozinheiro 0 terminou pedido=57
Cozinheiro 0 preparando pedido=59
Cozinheiro 2 terminou pedido=56
Cozinheiro 2 preparando pedido=60
Cozinheiro 1 terminou pedido=55
Cozinheiro 1 preparando pedido=61
Cozinheiro 4 terminou pedido=58
Cozinheiro 4 preparando pedido=62
Cozinheiro 3 terminou pedido=54
Cozinheiro 3 preparando pedido=63
Cozinheiro 0 terminou pedido=59
Cozinheiro 0 preparando pedido=64
Cozinheiro 2 terminou pedido=60
Cozinheiro 2 preparando pedido=65
Cozinheiro 4 terminou pedido=62
Cozinheiro 4 preparando pedido=66
Cozinheiro 1 terminou pedido=61
Cozinheiro 1 preparando pedido=67
Cozinheiro 3 terminou pedido=63
Cozinheiro 3 preparando pedido=68
Cozinheiro 0 terminou pedido=64
Cozinheiro 0 preparando pedido=69
Cozinheiro 1 terminou pedido=67
Cozinheiro 1 preparando pedido=70
Cozinheiro 3 terminou pedido=68
Cozinheiro 3 preparando pedido=71
Cozinheiro 2 terminou pedido=65
Cozinheiro 2 preparando pedido=72
Cozinheiro 4 terminou pedido=66
Cozinheiro 4 preparando pedido=73
Cozinheiro 1 terminou pedido=70
Cozinheiro 1 preparando pedido=74
Cozinheiro 3 terminou pedido=71
Cozinheiro 3 preparando pedido=75
Cozinheiro 0 terminou pedido=69
Cozinheiro 0 preparando pedido=76
Cozinheiro 3 terminou pedido=75
Cozinheiro 3 preparando pedido=77
Cozinheiro 4 terminou pedido=73
Cozinheiro 4 preparando pedido=78
Cozinheiro 2 terminou pedido=72
Cozinheiro 2 preparando pedido=79
Cozinheiro 4 terminou pedido=78
Cozinheiro 4 preparando pedido=80
Cozinheiro 1 terminou pedido=74
Cozinheiro 1 preparando pedido=81
Cozinheiro 0 terminou pedido=76
Cozinheiro 0 preparando pedido=82
Cozinheiro 3 terminou pedido=77
Cozinheiro 3 preparando pedido=83
Cozinheiro 4 terminou pedido=80
Cozinheiro 4 preparando pedido=84
Cozinheiro 2 terminou pedido=79
Cozinheiro 2 preparando pedido=85
Cozinheiro 1 terminou pedido=81
Cozinheiro 1 preparando pedido=86
Cozinheiro 0 terminou pedido=82
Cozinheiro 1 terminou pedido=86
Cozinheiro 0 preparando pedido=87
Cozinheiro 1 preparando pedido=88
Cozinheiro 2 terminou pedido=85
Cozinheiro 2 preparando pedido=89
Cozinheiro 3 terminou pedido=83
Cozinheiro 3 preparando pedido=90
Cozinheiro 4 terminou pedido=84
Cozinheiro 4 preparando pedido=91
Cozinheiro 3 terminou pedido=90
Cozinheiro 3 preparando pedido=92
Cozinheiro 0 terminou pedido=87
Cozinheiro 0 preparando pedido=93
Cozinheiro 4 terminou pedido=91
Cozinheiro 4 preparando pedido=94
Cozinheiro 2 terminou pedido=89
Cozinheiro 2 preparando pedido=95
Cozinheiro 1 terminou pedido=88
Cozinheiro 1 preparando pedido=96
Cozinheiro 0 terminou pedido=93
Cozinheiro 0 preparando pedido=97
Cozinheiro 4 terminou pedido=94
Cozinheiro 4 preparando pedido=98
Cozinheiro 2 terminou pedido=95
